,TF,target
1117,FOS,PRKACA
1118,SREBF1,GCK
1119,NFATC4,GSK3B
1120,RARA,TRH
1121,NCOR1,TRH
1122,ATF1,IL10
1123,CREB1,IL10
1124,RELB,ADRA1D
1125,REL,ADRA1D
1126,NFKB2,ADRA1D
1127,RELA,ADRA1D
1128,NFKB1,ADRA1D
1130,SPI1,FUT2
1132,TP53,ALB
1133,SP1,NFYA
1134,SPI1,ITGB2
1135,SPI1,NCF1C
1136,HNF1A,ALB
1137,FOXM1,ALB
1138,MYB,CEBPB
1139,CEBPB,EBP
1140,MYB,EBP
1141,CEBPB,CEBPA
1142,CEBPA,CEBPB
1143,RELB,NGFR
1144,REL,NGFR
1145,NFKB2,NGFR
1146,RELA,NGFR
1147,NFKB1,NGFR
1148,MYOG,MYF5
1149,MYOG,MEF2A
1150,MEF2A,MYOG
1151,MYOD1,MYOG
1152,MYOG,MYOD1
1153,USF1,CCNB1
1154,HNF4A,WNT2
1155,MYC,AR
1156,AR,MYC
1157,SREBF1,CYP51A1
1158,SP1,CGB8
1159,SP1,SCN5A
1160,CREB1,TNF
1161,SREBF1,RPS14
1162,SP1,F3
1163,RELB,F2
1164,REL,F2
1165,NFKB2,F2
1166,RELA,F2
1167,NFKB1,F2
1168,TFAP2A,RECQL4
1173,TP53,ING1
1174,TP53,MBP
1175,ETS1,FLT1
1176,SP3,ABCC3
1177,IRF1,CAMK4
1178,IRF1,TRIM63
1179,IRF2,CAMK4
1180,IRF2,CIITA
1181,IRF1,LGALS3
1182,IRF2,LGALS3
1183,USF1,BRCA2
1184,USF2,BRCA2
1185,SP1,TNF
1186,SMAD3,SMAD7
1187,SMAD4,SMAD7
1188,JUN,FGF2
1189,TP73,BAX
1190,SOX10,CHRNA10
1191,POU3F1,CHRNA3
1192,SOX10,CHRNA3
1193,HIF1A,CDKN1A
1194,AHR,GHRHR
1195,NR3C1,CPS1
1196,TP53,RNF123
